,Loss
980,212.41705
981,217.42587
982,187.90094
983,212.84477
984,212.83789
985,191.03586
986,200.617
987,206.68729
988,196.26843
989,234.1175
990,203.31308
991,215.48323
992,209.80042
993,181.60489
994,208.60208
995,189.99625
996,229.72522
997,199.43068
998,235.69862
999,188.92789
1000,176.37238
1001,181.02342
1002,184.81152
1003,170.47792
1004,193.95749
1005,192.44882
1006,198.32051
1007,175.5212
1008,199.32649
1009,188.97195
1010,189.38794
1011,188.33888
1012,194.38408
1013,184.42888
1014,217.51245
1015,204.46187
1016,193.83093
1017,216.93828
1018,192.07373
1019,202.3822
1020,176.71341
1021,200.19719
1022,176.10513
1023,206.53682
1024,220.59001
1025,190.75189
1026,194.09612
1027,196.33066
1028,221.7059
1029,194.35175
1030,152.0158
1031,203.25662
1032,171.81161
1033,201.45233
1034,191.80344
1035,190.36255
1036,191.82431
1037,148.6872
1038,199.22345
1039,200.96921
1040,193.98935
1041,213.94746
1042,192.21243
1043,201.44876
1044,183.5911
1045,190.9799
1046,191.45514
1047,174.40771
1048,208.04117
1049,186.29782
1050,189.88213
1051,183.30298
1052,180.91956
1053,215.84372
1054,202.05522
1055,182.23196
1056,204.22237
1057,198.93419
1058,203.04016
1059,221.75278
1060,184.34268
1061,205.10884
1062,189.62529
1063,219.11858
1064,181.50452
1065,210.25168
1066,188.44199
1067,222.4107
1068,196.75085
1069,197.8901
1070,168.40823
1071,176.24411
1072,214.7187
1073,165.36804
1074,189.88348
1075,187.1548
1076,168.949
1077,193.85043
1078,180.40883
1079,199.5672
1080,207.32204
1081,199.93594
1082,202.0781
1083,174.98808
1084,157.02457
1085,174.3317
1086,173.93524
1087,168.65338
1088,203.93027
1089,190.03531
1090,186.00525
1091,164.5422
1092,194.31346
1093,174.94705
1094,178.36594
1095,219.81798
1096,159.37048
1097,188.55505
1098,189.03467
1099,190.61078
1100,168.30035
1101,188.99574
1102,196.20341
1103,194.9137
1104,205.9435
1105,193.23264
1106,191.06094
1107,174.92754
1108,199.1288
1109,180.33017
1110,184.56076
1111,176.37064
1112,161.63873
1113,193.65433
1114,185.83777
1115,187.40437
1116,170.40906
1117,183.7392
1118,165.25073
1119,178.90236
1120,162.19829
1121,155.03925
1122,178.43414
1123,194.41174
1124,171.97092
1125,189.32187
1126,185.8023
1127,185.61241
1128,204.71732
1129,178.8318
1130,180.86517
1131,189.30759
1132,159.00345
1133,198.21628
1134,187.80243
1135,178.38538
1136,189.25159
1137,161.57513
1138,163.15652
1139,198.85695
1140,189.97368
1141,156.60213
1142,193.36407
1143,187.86122
1144,195.62581
1145,191.26349
1146,187.83853
1147,197.47461
1148,169.97768
1149,183.77594
1150,175.68423
1151,145.90587
1152,152.50668
1153,150.27994
1154,186.03564
1155,179.92215
1156,191.3642
1157,179.52208
1158,181.92009
1159,178.0044
1160,191.15189
1161,204.20656
1162,175.9802
1163,175.76483
1164,194.93376
1165,183.49689
1166,162.81607
1167,175.02725
1168,168.11069
1169,195.96631
1170,185.98135
1171,180.8899
1172,205.29254
1173,168.36578
1174,166.77393
1175,193.7679
1176,175.07764
1177,175.03496
1178,168.36954
1179,161.97598
1180,180.20096
1181,182.48854
1182,179.68027
1183,174.14877
1184,166.64244
1185,164.66812
1186,178.14786
1187,187.03981
1188,165.94907
1189,199.02036
1190,169.49902
1191,200.44284
1192,182.93375
1193,203.6642
1194,216.50476
1195,222.18253
1196,207.0732
1197,167.72522
1198,186.75949
1199,189.2164
1200,171.46909
1201,197.64734
1202,199.2616
1203,216.22664
1204,185.03021
1205,173.87256
1206,167.38986
1207,157.46286
1208,149.20842
1209,201.98758
1210,188.1956
1211,179.89221
1212,186.09879
1213,188.97473
1214,157.70848
1215,208.35443
1216,242.6572
1217,163.87645
1218,199.0893
1219,170.45776
1220,181.22473
1221,159.28012
1222,173.94308
1223,169.06303
1224,189.74432
1225,197.22894
1226,151.7045
1227,189.98123
